trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time,resolution_time
306,A3,0.28,7.0,-7.0,LOSS,73.41637888456584,66.41637888456584,2026-04-27 18:46:08.705832+00:00,2026-04-27 18:50:00.016684+00:00
307,A1,0.18,6.0,-6.0,LOSS,66.41637888456584,60.416378884565844,2026-04-27 18:46:18.733249+00:00,2026-04-27 18:50:00.013779+00:00
316,A7,0.27,5.0,-5.0,LOSS,60.416378884565844,55.416378884565844,2026-04-27 18:58:20.457179+00:00,2026-04-27 19:00:00.013130+00:00
317,A1,0.22,5.0,17.109090909090913,WIN,55.416378884565844,72.52546979365675,2026-04-27 19:01:20.744690+00:00,2026-04-27 19:05:00.017227+00:00
323,A7,0.38,6.0,9.334736842105265,WIN,72.52546979365675,81.86020663576201,2026-04-27 19:17:13.343881+00:00,2026-04-27 19:20:00.014085+00:00
335,A5,0.55,20.0,-20.0,LOSS,81.86020663576201,61.86020663576201,2026-04-27 19:37:05.941953+00:00,2026-04-27 19:40:00.012787+00:00
337,A6,0.9,15.0,1.0999999999999979,WIN,61.86020663576201,62.960206635762006,2026-04-27 19:41:06.360676+00:00,2026-04-27 19:45:00.014877+00:00
338,A6,0.93,15.0,0.5758064516129018,WIN,62.960206635762006,63.53601308737491,2026-04-27 19:41:26.398586+00:00,2026-04-27 19:45:00.011173+00:00
343,A5,0.55,15.0,11.440909090909091,WIN,63.53601308737491,74.976922178284,2026-04-27 19:52:08.107624+00:00,2026-04-27 19:55:00.011755+00:00
344,A4,0.62,15.0,8.438709677419357,WIN,74.976922178284,83.41563185570335,2026-04-27 19:52:48.214267+00:00,2026-04-27 19:55:00.010931999+00:00
351,A8,0.66,18.0,-18.0,LOSS,83.41563185570335,65.41563185570335,2026-04-27 20:06:30.339441+00:00,2026-04-27 20:10:00.012521+00:00
352,A8,0.67,18.0,-18.0,LOSS,65.41563185570335,47.41563185570335,2026-04-27 20:06:40.376587+00:00,2026-04-27 20:10:00.013583+00:00
363,A1,0.16,4.0,20.335,WIN,47.41563185570335,67.75063185570335,2026-04-27 20:26:33.319995+00:00,2026-04-27 20:30:00.015750+00:00
369,A1,0.16,6.0,-6.0,LOSS,67.75063185570335,61.75063185570335,2026-04-27 20:41:35.188950+00:00,2026-04-27 20:45:00.017355+00:00
371,A1,0.17,5.0,-5.0,LOSS,61.75063185570335,56.75063185570335,2026-04-27 20:46:05.816863+00:00,2026-04-27 20:50:00.017206+00:00
372,A2,0.18,7.0,-7.0,LOSS,56.75063185570335,49.75063185570335,2026-04-27 20:47:56.302828+00:00,2026-04-27 20:50:00.013864+00:00
373,A2,0.16,7.0,-7.0,LOSS,49.75063185570335,42.75063185570335,2026-04-27 20:48:06.328862+00:00,2026-04-27 20:50:00.015929+00:00
378,A4,0.59,10.0,-10.0,LOSS,42.75063185570335,32.75063185570335,2026-04-27 20:52:27.263689+00:00,2026-04-27 20:55:00.012308+00:00
379,A4,0.63,10.0,-10.0,LOSS,32.75063185570335,22.750631855703347,2026-04-27 20:52:47.315597+00:00,2026-04-27 20:55:00.014357+00:00
381,A4,0.55,5.0,-5.0,LOSS,22.750631855703347,17.750631855703347,2026-04-27 20:53:07.688848+00:00,2026-04-27 20:55:00.015135+00:00
387,A4,0.56,4.0,2.9242857142857135,WIN,17.750631855703347,20.67491756998906,2026-04-27 20:57:18.084536+00:00,2026-04-27 21:00:00.012162+00:00
389,A4,0.66,4.0,1.8690909090909091,WIN,20.67491756998906,22.54400847907997,2026-04-27 20:57:38.146508+00:00,2026-04-27 21:00:00.015419+00:00
390,A4,0.59,2.0,1.285084745762712,WIN,22.54400847907997,23.829093224842683,2026-04-27 20:57:48.180069+00:00,2026-04-27 21:00:00.013953+00:00
394,A1,0.2,2.0,-2.0,LOSS,23.829093224842683,21.829093224842683,2026-04-27 21:01:08.508614+00:00,2026-04-27 21:05:00.011137+00:00
401,A7,0.32,1.0,-1.0,LOSS,21.829093224842683,20.829093224842683,2026-04-27 21:08:19.683093+00:00,2026-04-27 21:10:00.012796+00:00
402,A7,0.36,1.0,-1.0,LOSS,20.829093224842683,19.829093224842683,2026-04-27 21:08:29.706113+00:00,2026-04-27 21:10:00.012261+00:00
405,A2,0.23,2.0,6.458260869565217,WIN,19.829093224842683,26.287354094407902,2026-04-27 21:17:10.573904+00:00,2026-04-27 21:20:00.012423+00:00
406,A2,0.19,2.0,8.243157894736843,WIN,26.287354094407902,34.53051198914474,2026-04-27 21:17:20.611303+00:00,2026-04-27 21:20:00.015545+00:00
412,A7,0.35,2.0,3.5514285714285716,WIN,34.53051198914474,38.081940560573315,2026-04-27 21:22:41.172436+00:00,2026-04-27 21:25:00.014610+00:00
413,A7,0.33,2.0,3.8890909090909096,WIN,38.081940560573315,41.971031469664226,2026-04-27 21:23:11.239141+00:00,2026-04-27 21:25:00.013299+00:00
414,A4,0.64,8.0,-8.0,LOSS,41.971031469664226,33.971031469664226,2026-04-27 21:23:21.260511+00:00,2026-04-27 21:25:00.011368+00:00
417,A3,0.3,3.0,-3.0,LOSS,33.971031469664226,30.971031469664226,2026-04-27 21:26:21.484196+00:00,2026-04-27 21:30:00.014456+00:00
432,A8,0.63,6.0,-6.0,LOSS,30.971031469664226,24.971031469664226,2026-04-27 21:36:52.920712+00:00,2026-04-27 21:40:00.011918+00:00
443,A7,0.35,2.0,-2.0,LOSS,24.971031469664226,22.971031469664226,2026-04-27 21:42:23.558053+00:00,2026-04-27 21:45:00.011577+00:00
444,A4,0.58,6.0,-6.0,LOSS,22.971031469664226,16.971031469664226,2026-04-27 21:42:53.702534+00:00,2026-04-27 21:45:00.013990+00:00
446,A7,0.36,2.0,-2.0,LOSS,16.971031469664226,14.971031469664226,2026-04-27 21:43:13.745195+00:00,2026-04-27 21:45:00.012140+00:00
453,A8,0.67,3.0,1.3356716417910448,WIN,14.971031469664226,16.30670311145527,2026-04-27 22:01:26.237980+00:00,2026-04-27 22:05:00.015539+00:00
454,A8,0.67,3.0,1.3356716417910448,WIN,16.30670311145527,17.642374753246315,2026-04-27 22:01:36.266932+00:00,2026-04-27 22:05:00.016818+00:00
455,A8,0.64,2.0,1.026875,WIN,17.642374753246315,18.669249753246316,2026-04-27 22:01:46.291048+00:00,2026-04-27 22:05:00.013016+00:00
462,A8,0.68,4.0,1.695294117647058,WIN,18.669249753246316,20.364543870893375,2026-04-27 22:06:16.889466+00:00,2026-04-27 22:10:00.016437+00:00
467,A7,0.29,1.0,-1.0,LOSS,20.364543870893375,19.364543870893375,2026-04-27 22:12:27.948359+00:00,2026-04-27 22:15:00.013744+00:00
469,A2,0.22,2.0,-2.0,LOSS,19.364543870893375,17.364543870893375,2026-04-27 22:12:58.033385+00:00,2026-04-27 22:15:00.013369+00:00
