trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time
664,A8,0.55,9.0,6.8645,WIN,65.76,72.62,2026-04-28 00:46:19.333503+00:00
665,A8,0.65,9.0,4.41,WIN,72.62,77.03,2026-04-28 00:46:29.359638+00:00
666,A8,0.55,9.0,6.8645,WIN,77.03,83.89,2026-04-28 00:46:39.476803+00:00
680,A7,0.38,7.0,10.8905,WIN,83.89,94.78,2026-04-28 00:58:11.193344+00:00
683,A8,0.62,14.0,7.8761,WIN,94.78,102.66,2026-04-28 01:01:31.489423+00:00
687,A7,0.33,8.0,-8.0,LOSS,102.66,94.66,2026-04-28 01:07:52.240516+00:00
689,A7,0.35,7.0,-7.0,LOSS,94.66,87.66,2026-04-28 01:13:12.868974+00:00
692,A4,0.61,10.0,5.8836,WIN,87.66,93.54,2026-04-28 01:17:33.339841+00:00
698,A7,0.39,7.0,-7.0,LOSS,93.54,86.54,2026-04-28 01:22:43.966283+00:00
700,A4,0.58,11.0,7.3814,WIN,86.54,93.93,2026-04-28 01:27:04.469015+00:00
701,A4,0.62,11.0,6.1884,WIN,93.93,100.11,2026-04-28 01:27:24.547109+00:00
704,A4,0.61,11.0,6.472,WIN,100.11,106.59,2026-04-28 01:28:14.659650+00:00
706,A8,0.59,15.0,9.6381,WIN,106.59,116.22,2026-04-28 01:31:24.928626+00:00
712,A6,0.77,17.0,4.356,WIN,116.22,120.58,2026-04-28 13:31:52.820524+00:00
714,A4,0.55,17.0,-17.0,LOSS,120.58,103.58,2026-04-28 13:33:12.991682+00:00
715,A4,0.58,17.0,-17.0,LOSS,103.58,86.58,2026-04-28 13:33:23.014362+00:00
717,A8,0.66,10.0,4.6727,WIN,86.58,91.25,2026-04-28 13:46:04.116276+00:00
725,A6,0.87,13.0,1.439,WIN,91.25,92.69,2026-04-28 14:16:26.912018+00:00
731,A8,0.66,13.0,6.0745,WIN,92.69,98.77,2026-04-28 14:36:18.793005+00:00
732,A8,0.66,13.0,6.0745,WIN,98.77,104.84,2026-04-28 14:36:28.816879+00:00
738,A3,0.35,2.0,-2.0,LOSS,104.84,102.84,2026-04-28 14:41:59.458061+00:00
745,A8,0.65,13.0,-13.0,LOSS,102.84,89.84,2026-04-28 14:51:30.336364+00:00
753,A7,0.34,6.0,11.1459,WIN,89.84,100.99,2026-04-28 15:13:12.475974+00:00
754,A7,0.33,8.0,-8.0,LOSS,100.99,92.99,2026-04-28 15:18:12.960418+00:00
755,A3,0.36,2.0,-2.0,LOSS,92.99,90.99,2026-04-28 15:21:33.227160+00:00
763,A3,0.31,1.0,2.1352,WIN,90.99,93.12,2026-04-28 15:36:14.622441+00:00
765,A3,0.3,2.0,4.48,WIN,93.12,97.6,2026-04-28 15:41:15.084187+00:00
766,A7,0.36,7.0,-7.0,LOSS,97.6,90.6,2026-04-28 15:42:15.213441+00:00
767,A8,0.61,12.0,-12.0,LOSS,90.6,78.6,2026-04-28 15:46:05.504947+00:00
792,A5,0.6,9.0,5.535,WIN,78.6,84.14,2026-04-28 17:07:47.193112+00:00
796,A3,0.31,2.0,-2.0,LOSS,84.14,82.14,2026-04-28 17:21:48.490255+00:00
801,A8,0.64,11.0,5.6478,WIN,82.14,87.79,2026-04-28 17:31:49.472182+00:00
804,A8,0.61,13.0,7.6487,WIN,87.79,95.43,2026-04-28 17:36:29.926575+00:00
808,A3,0.28,2.0,-2.0,LOSS,95.43,93.43,2026-04-28 17:41:50.473520+00:00
812,A7,0.37,7.0,-7.0,LOSS,93.43,86.43,2026-04-28 17:52:11.558406+00:00
813,A7,0.38,7.0,-7.0,LOSS,86.43,79.43,2026-04-28 17:52:41.627251+00:00
816,A3,0.35,1.0,-1.0,LOSS,79.43,78.43,2026-04-28 18:01:52.474666+00:00
835,A7,0.36,4.0,-4.0,LOSS,78.43,74.43,2026-04-28 18:42:09.192622+00:00
850,A7,0.31,3.0,-3.0,LOSS,74.43,71.43,2026-04-28 19:07:51.751322+00:00
870,A7,0.38,3.0,4.6674,WIN,71.43,76.1,2026-04-28 19:42:15.077542+00:00
872,A8,0.69,11.0,-11.0,LOSS,76.1,65.1,2026-04-28 19:46:15.386542+00:00
900,A7,0.33,4.0,7.7782,WIN,65.1,72.88,2026-04-28 20:13:07.837487+00:00
905,A4,0.59,10.0,-10.0,LOSS,72.88,62.88,2026-04-28 20:27:19.042288+00:00
918,A7,0.37,4.0,-4.0,LOSS,62.88,58.88,2026-04-28 21:07:02.749190+00:00
966,A7,0.37,4.0,6.5005,WIN,58.88,65.38,2026-04-28 22:47:02.151014+00:00
985,A3,0.28,1.0,2.4721,WIN,65.38,67.85,2026-04-28 23:31:16.266598+00:00
986,A3,0.27,1.0,2.6011,WIN,67.85,70.45,2026-04-28 23:31:26.290056+00:00
988,A3,0.25,1.0,2.89,WIN,70.45,73.34,2026-04-28 23:31:46.339558+00:00
1011,A7,0.32,6.0,12.2213,WIN,73.34,85.56,2026-04-29 00:07:19.716221+00:00
1015,A5,0.65,12.0,5.88,WIN,85.56,91.44,2026-04-29 00:12:30.211785+00:00
1016,A5,0.67,12.0,5.3427,WIN,91.44,96.79,2026-04-29 00:12:40.233173+00:00
1017,A5,0.69,12.0,4.8365,WIN,96.79,101.62,2026-04-29 00:12:50.253611+00:00
1027,A7,0.27,8.0,-8.0,LOSS,101.62,93.62,2026-04-29 00:27:51.686541+00:00
1030,A5,0.56,12.0,-12.0,LOSS,93.62,81.62,2026-04-29 01:03:05.077220+00:00
1038,A7,0.38,5.0,7.7789,WIN,81.62,89.4,2026-04-29 01:17:26.411537+00:00
1045,A3,0.36,2.0,3.3967,WIN,89.4,92.8,2026-04-29 01:26:37.226870+00:00
1046,A3,0.35,2.0,3.5514,WIN,92.8,96.35,2026-04-29 01:26:47.251850+00:00
1070,A8,0.59,14.0,-14.0,LOSS,96.35,82.35,2026-04-29 01:51:59.594448+00:00
1074,A8,0.61,11.0,6.472,WIN,82.35,88.82,2026-04-29 01:56:09.971052+00:00
1075,A8,0.56,11.0,8.0418,WIN,88.82,96.86,2026-04-29 01:56:50.072410+00:00
1080,A8,0.58,14.0,9.3945,WIN,96.86,106.26,2026-04-29 02:06:30.986517+00:00
1090,A8,0.6,15.0,-15.0,LOSS,106.26,91.26,2026-04-29 02:26:32.927785+00:00
1091,A7,0.35,9.0,-9.0,LOSS,91.26,82.26,2026-04-29 02:27:43.079237+00:00
1092,A7,0.39,5.0,-5.0,LOSS,82.26,77.26,2026-04-29 02:37:23.982482+00:00
1100,A3,0.34,1.0,1.8576,WIN,77.26,79.12,2026-04-29 02:51:05.131210+00:00
1112,A8,0.63,11.0,5.9138,WIN,79.12,85.03,2026-04-29 03:21:07.644385+00:00
1113,A8,0.61,11.0,6.472,WIN,85.03,91.5,2026-04-29 03:21:17.666544+00:00
1114,A8,0.66,11.0,5.14,WIN,91.5,96.64,2026-04-29 03:21:27.693817+00:00
1141,A7,0.25,8.0,23.12,WIN,96.64,119.76,2026-04-29 03:58:21.281422+00:00
1154,A6,0.85,17.0,2.33,WIN,119.76,122.09,2026-04-29 04:41:05.351118+00:00
1155,A6,0.95,17.0,0.2774,WIN,122.09,122.37,2026-04-29 04:41:35.417924+00:00
1161,A8,0.61,18.0,-18.0,LOSS,122.37,104.37,2026-04-29 04:46:55.962774+00:00
1167,A7,0.35,7.0,-7.0,LOSS,104.37,97.37,2026-04-29 04:57:06.990614+00:00
1175,A7,0.33,6.0,-6.0,LOSS,97.37,91.37,2026-04-29 05:12:38.625332+00:00
1177,A7,0.31,5.0,-5.0,LOSS,91.37,86.37,2026-04-29 05:32:30.671096+00:00
1185,A7,0.36,4.0,-4.0,LOSS,86.37,82.37,2026-04-29 05:42:51.787796+00:00
1187,A8,0.67,6.0,2.6713,WIN,82.37,85.04,2026-04-29 05:46:02.085442+00:00
1199,A5,0.59,12.0,7.7105,WIN,85.04,92.75,2026-04-29 06:22:05.862501+00:00
1200,A5,0.6,12.0,7.38,WIN,92.75,100.13,2026-04-29 06:22:25.916069+00:00
1204,A8,0.57,15.0,-15.0,LOSS,100.13,85.13,2026-04-29 06:31:36.850673+00:00
1207,A5,0.59,15.0,-15.0,LOSS,85.13,70.13,2026-04-29 06:32:57.037483+00:00
1221,A8,0.68,8.0,-8.0,LOSS,70.13,62.13,2026-04-29 06:41:37.844434+00:00
1222,A8,0.61,8.0,-8.0,LOSS,62.13,54.13,2026-04-29 06:41:47.869104+00:00
1230,A8,0.68,4.0,1.6953,WIN,54.13,55.83,2026-04-29 06:46:38.375300+00:00
1231,A8,0.65,4.0,1.96,WIN,55.83,57.79,2026-04-29 06:46:48.398631+00:00
1252,A5,0.63,8.0,4.301,WIN,57.79,62.09,2026-04-29 07:07:00.515950+00:00
1265,A6,0.94,9.0,0.2451,WIN,62.09,62.33,2026-04-29 07:31:43.138340+00:00
1266,A3,0.27,1.0,2.6011,WIN,62.33,64.93,2026-04-29 07:36:03.529179+00:00
1268,A8,0.66,9.0,-9.0,LOSS,64.93,55.93,2026-04-29 07:36:43.619830+00:00
1275,A3,0.3,1.0,2.24,WIN,55.93,58.17,2026-04-29 08:01:36.137600+00:00
1277,A3,0.27,1.0,-1.0,LOSS,58.17,57.17,2026-04-29 08:11:57.249071+00:00
