market_id,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,label,token_side,oof_prob
0x02eb98e4c5b69ed492d6a1d4a5a76270752d5a8c3f1ca3bcc65963963839b5af,0.71,0.28,0.010000000000000009,175.03,217.6,-0.10842268802689553,-0.01678963609343224,-1,0.11747652728641937,297.6,9,5,0,NONE,0.7728743553161621
0x02f9e8b55623838eebd5054b375366c93caf92f3fddab77eff93430ed67d82b9,0.5800000000000001,0.41000000000000003,0.009999999999999898,74.08,101.53,-0.15631228289960708,0.0,-1,0.13019648005119616,296.40000000000003,23,5,1,YES,0.4148254990577698
0x030f88c4320d0b9b44ac57c21de49effb357bc6fcedda8b4d6dbe2507880c8c5,0.52,0.44999999999999996,0.030000000000000027,171.54,277.85,-0.23656512160929266,0.0059967559948770075,-1,0.13989108783513052,296.40000000000003,20,6,1,YES,0.38823744654655457
0x031a514a37504f450e9d7dbe2de073c70f02a9ea4ff839e8b4f79d8a47d0ae08,0.49,0.5,0.010000000000000009,37.08,285.12,-0.769832402234637,0.0023990563072109976,1,0.0846838153847637,294.6,11,0,1,NO,0.6023972630500793
0x03201bea295766ec586804dc870a37122ea2a8fda32d06f98868c888ef9e5d0b,0.43000000000000005,0.56,0.009999999999999953,94.24,94.97,-0.003858147032397886,-0.002398478884691331,-1,0.07587758171823485,296.40000000000003,17,2,1,YES,0.41721564531326294
0x032d1fd58af245b0f7ff654f34b5ec023605b1a127f3265bef8d0db141f0a0d5,0.48,0.49,0.030000000000000027,44.47,39.27,0.06209696680200615,-0.014391015976546162,1,0.10717084069115934,296.40000000000003,12,4,1,NO,0.7728785872459412
0x03436478c5fb82b170ca5cb07df7da97317cd65eaab9ddc0c3cd3661f9f4bfb3,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,0.00019669982540530115,-1,0.07612805240854606,296.40000000000003,21,1,1,NO,0.5903280973434448
0x034bd2688306f42d7f95a3778862dbb9dcf78286dd38ceb39778762bf2afb005,0.51,0.48,0.010000000000000009,96.97,308.24,-0.5213839737420103,0.004798031847336222,1,0.056144035994732125,298.8,4,6,0,NONE,0.33527499437332153
0x034d4d2fb8db47e0b32e9a8544ead7452c1e7caccf8f3cfb669ad2e0b6686afd,0.49,0.5,0.010000000000000009,75.35,57.96,0.13044782836996469,-0.006396609796807694,1,0.15808116640641856,295.79999999999995,2,3,0,NONE,0.5772360563278198
0x035676b997d82961cd6e3c773049c948f1529a0560a0122cb703a83e379f724d,0.42000000000000004,0.55,0.02999999999999997,260.62,306.72,-0.0812563894666338,-0.005597396538921817,-1,0.16644072765637866,298.2,1,2,0,NONE,0.39376524090766907
0x0359f372a159196f06a0f9081cf64f149f681b79929e68a120077e7722100aad,0.5,0.49,0.010000000000000009,138.77,45.68,0.5046896177825969,-0.0023974862835813926,-1,0.04398464146322764,294.6,19,5,0,NONE,0.4068184494972229
0x035f37c6c920287812fc7076d1052ef3eda960155091ae1abb260cbb0a12369e,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,-0.004258827224897445,1,0.14976971671573927,297.6,18,3,1,YES,0.5002195239067078
0x0389217ae71830d9787ef5f360b8519b4ee0e9ed66b844b33b6f5710897023cc,0.51,0.48,0.010000000000000009,226.8,243.25,-0.03499627699180936,-0.004397858594693071,-1,0.131000154000296,295.79999999999995,17,2,1,NO,0.6828914880752563
0x039e9ebd9ae3a0de70953d7ba728711b310f1089504667a1b1d29157668c5a49,0.5,0.49,0.010000000000000009,793.47,135.15,0.7089229178781418,-0.003598520576220703,-1,0.045906672280905815,296.40000000000003,8,2,1,YES,0.4502617120742798
0x03afb756ce58ee2e30f0cb2ab3966f9872f3c4bfcf002d3139ca08525c817737,0.44999999999999996,0.52,0.030000000000000027,236.98,10.79,0.9129030956128669,0.0007997071472426805,-1,0.12000770129840552,297.6,17,6,1,NO,0.6058925986289978
0x03c61e831004c8dce3d70e2c6f1d3417e3d5d7a6a81523ffb79879322d0765df,0.48,0.51,0.010000000000000009,37.73,150.72,-0.5995754842133193,0.00039958578937073863,1,0.08100388723286954,297.0,15,0,1,YES,0.6133652925491333
0x03ce0c49cc00b56bd7fbf25a20ea7aaebcbb3e3f5bce036b94e2cf3316f143c7,0.54,0.44999999999999996,0.010000000000000009,113.29,36.61,0.5115410273515677,-0.004397984315828368,1,0.06512639872930032,298.2,22,2,1,YES,0.4849449098110199
0x03d4352806cd24442baf85c45812a1d5e33bd9cfea44c39b8c7ee213fdced6dc,0.53,0.45999999999999996,0.010000000000000009,342.44,44.1,0.7718218036943135,0.0023990976513913608,-1,0.17727935787295737,296.40000000000003,3,0,1,NO,0.5832090377807617
0x03dab4a6c0c86226625874156e67793e288f4b296f778b93e09841de9eadd9da,0.5,0.49,0.010000000000000009,198.87,507.16,-0.43665283344900363,0.0011995221583529997,1,0.07809196136850288,298.2,10,4,1,YES,0.4567014276981354
0x03e5634d138c2a084e1c109b63efa04f421888bd5438aab559510dbdd6f53a1b,0.5700000000000001,0.42000000000000004,0.009999999999999898,69.75,29.82,0.4010244049412474,0.0015992068573670174,-1,0.05358529320437411,297.6,7,3,0,NONE,0.3318539261817932
0x04118aa57069b808576ba7e42641f4af56f4c7098a66fb042a9c8f10320d7ff2,0.49,0.5,0.010000000000000009,303.69,210.61,0.1809838615594011,-0.0031977003418221734,-1,0.12516884700172107,294.6,7,3,1,YES,0.6383023858070374
0x0412eb88a9af2fe4ff52a0647613415e7668d138b4f2854c30f37de2d5803f7d,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,-0.0035503355739812566,1,0.11820625683881608,298.2,7,0,1,NO,0.5755578875541687
0x0414261ed36bbfaf877485da9e960d7f99677598e648737a587bf0b50e19c448,0.6,0.39,0.010000000000000009,28.55,123.73,-0.6250328342526924,0.007594654881894126,1,0.09335083572777188,295.79999999999995,2,1,0,NONE,0.15817071497440338
0x041d9804a65b241069793a67f17150bccdfd7a6895b35e5716de8d87094dc32f,0.52,0.47,0.010000000000000009,21.84,91.27,-0.6138272478118645,0.001199261398889653,1,0.17621046509271948,295.2,3,2,0,NONE,0.5863353610038757
0x04352e8264d7df136ec2167874e6be5b8a33d12bb5303d67cf73b001c445ac0b,0.55,0.43999999999999995,0.010000000000000009,79.72,69.29,0.06999530232870273,-0.0023989364075543487,-1,0.08698910176071835,295.2,7,1,1,YES,0.5166503190994263
0x044df0acd2a09f39d65671d4336bcdcf5b91e0e4f667ff8e2af5afb50664d5b7,0.51,0.48,0.010000000000000009,106.32,287.34,-0.45983843926230755,0.009990895496751721,1,0.12812018990037943,297.6,12,3,0,NONE,0.3030061423778534
0x04774a689600ec8b1a3465f4d74e47945e003d84d74cb96c3907ddfe368c55e8,0.6799999999999999,0.31000000000000005,0.010000000000000009,89.27,75.91,0.08088146264680954,0.0011995285852659915,1,0.16024652061252703,295.79999999999995,6,5,0,NONE,0.4007877707481384
